order_id,order_code,customer_id,order_datetime,status
1,ORD-2024-000001,2441,2024-12-17 08:57:57,Delivered
2,ORD-2024-000002,1101,2024-12-27 16:20:47,Paid
3,ORD-2025-000003,2326,2025-04-01 05:38:48,Paid
4,ORD-2025-000004,11086,2025-02-01 14:40:07,Shipped
5,ORD-2025-000005,11269,2025-04-21 21:01:19,Delivered
6,ORD-2024-000006,18669,2024-03-14 02:35:18,Paid
7,ORD-2024-000007,18098,2024-04-20 03:15:10,Paid
8,ORD-2025-000008,4747,2025-06-22 14:37:48,Shipped
9,ORD-2025-000009,5815,2025-04-07 11:44:27,Cancelled
10,ORD-2024-000010,14375,2024-12-17 20:26:10,Delivered
11,ORD-2025-000011,16567,2025-04-23 02:55:13,Delivered
12,ORD-2025-000012,14532,2025-04-28 23:57:22,Pending
13,ORD-2025-000013,5250,2025-02-14 09:44:26,Paid
14,ORD-2024-000014,15254,2024-01-28 16:36:57,Paid
15,ORD-2024-000015,18555,2024-07-06 22:08:40,Shipped
16,ORD-2025-000016,8082,2025-08-27 08:59:31,Shipped
17,ORD-2024-000017,12657,2024-12-08 04:05:42,Shipped
18,ORD-2024-000018,12386,2024-05-31 17:03:15,Shipped
19,ORD-2025-000019,1887,2025-05-12 07:54:09,Paid
20,ORD-2024-000020,18987,2024-01-04 13:38:02,Delivered
21,ORD-2024-000021,5438,2024-12-21 05:14:48,Delivered
22,ORD-2024-000022,17560,2024-11-11 22:54:18,Cancelled
23,ORD-2024-000023,830,2024-03-05 15:01:30,Delivered
24,ORD-2024-000024,2703,2024-09-01 21:11:35,Delivered
25,ORD-2025-000025,14766,2025-02-02 08:51:45,Paid
26,ORD-2024-000026,2609,2024-02-24 13:03:39,Shipped
27,ORD-2024-000027,7886,2024-03-24 19:54:12,Paid
28,ORD-2024-000028,967,2024-08-13 22:49:22,Paid
29,ORD-2024-000029,6458,2024-01-14 02:51:40,Delivered
30,ORD-2024-000030,12298,2024-01-01 10:09:30,Paid
31,ORD-2024-000031,17331,2024-02-10 15:21:49,Shipped
32,ORD-2025-000032,10683,2025-07-04 14:50:16,Paid
33,ORD-2024-000033,8134,2024-02-26 17:32:00,Shipped
34,ORD-2024-000034,3344,2024-06-03 04:07:27,Delivered
35,ORD-2024-000035,18436,2024-07-28 12:58:53,Paid
36,ORD-2024-000036,7955,2024-08-29 17:22:04,Paid
37,ORD-2024-000037,10488,2024-11-14 11:54:11,Delivered
