order_id,line_number,product_id,quantity,unit_price,discount_amt,tax_amt
1,1,833,3,34987.0,0.0,18892.98
1,2,945,1,36528.0,1826.4,6246.29
1,3,861,1,40108.0,0.0,7219.44
2,1,916,4,9356.0,0.0,6736.32
2,2,912,2,4712.0,0.0,1696.32
3,1,820,1,37546.0,0.0,6758.28
4,1,167,2,21164.0,0.0,7619.04
5,1,251,1,49752.0,0.0,8955.36
5,2,218,1,8943.0,0.0,1609.74
6,1,227,1,18044.0,0.0,3247.92
6,2,704,2,35182.0,0.0,12665.52
6,3,718,2,19581.0,0.0,7049.16
7,1,561,1,45191.0,2259.55,7727.66
7,2,1205,2,9972.0,0.0,3589.92
7,3,1197,1,24933.0,0.0,4487.94
7,4,347,1,30240.0,0.0,5443.2
8,1,207,2,41645.0,0.0,14992.2
8,2,261,1,46382.0,6957.3,7096.45
9,1,155,2,23270.0,0.0,8377.2
10,1,1148,1,19926.0,0.0,3586.68
10,2,209,1,35831.0,0.0,6449.58
11,1,1487,2,31832.0,0.0,11459.52
11,2,1238,1,17359.0,0.0,3124.62
11,3,1356,1,36271.0,0.0,6528.78
11,4,1413,3,33848.0,0.0,18277.92
11,5,498,2,30901.0,0.0,11124.36
12,1,919,1,20303.0,2030.3,3289.09
12,2,1368,1,8067.0,0.0,1452.06
12,3,332,4,24201.0,0.0,17424.72
12,4,398,1,20987.0,0.0,3777.66
13,1,254,2,27169.0,0.0,9780.84
13,2,54,4,16891.0,0.0,12161.52
13,3,438,1,2249.0,224.9,364.34
14,1,1371,2,19960.0,0.0,7185.6
14,2,537,1,47529.0,0.0,8555.22
14,3,182,1,26371.0,1318.55,4509.44
14,4,1025,2,22837.0,0.0,8221.32
14,5,23,1,41063.0,0.0,7391.34
15,1,813,1,38174.0,0.0,6871.32
15,2,559,1,22245.0,0.0,4004.1
16,1,202,1,42782.0,0.0,7700.76
16,2,1013,1,21257.0,0.0,3826.26
17,1,1181,1,955.0,0.0,171.9
17,2,740,2,11652.0,0.0,4194.72
18,1,919,2,20303.0,0.0,7309.08
19,1,36,1,40094.0,0.0,7216.92
19,2,1077,1,28874.0,0.0,5197.32
19,3,726,1,6160.0,0.0,1108.8
20,1,1390,1,20563.0,0.0,3701.34
21,1,58,2,42796.0,0.0,15406.56
21,2,60,1,42700.0,0.0,7686.0
21,3,1193,1,43165.0,0.0,7769.7
22,1,1061,1,863.0,0.0,155.34
22,2,573,2,18951.0,1895.1,6481.24
23,1,870,1,47750.0,0.0,8595.0
23,2,847,1,40505.0,0.0,7290.9
24,1,764,4,16083.0,3216.6,11000.77
25,1,932,1,40253.0,0.0,7245.54
26,1,385,1,25937.0,0.0,4668.66
27,1,1149,1,27727.0,1386.35,4741.32
27,2,1494,1,25292.0,0.0,4552.56
27,3,1384,2,44672.0,0.0,16081.92
27,4,743,1,15628.0,0.0,2813.04
28,1,578,1,24559.0,0.0,4420.62
28,2,329,1,35631.0,1781.55,6092.9
28,3,798,1,13114.0,0.0,2360.52
28,4,72,1,30479.0,0.0,5486.22
29,1,776,1,13335.0,0.0,2400.3
30,1,764,1,16083.0,0.0,2894.94
30,2,1467,1,46681.0,0.0,8402.58
30,3,679,1,18834.0,0.0,3390.12
30,4,1023,1,1705.0,0.0,306.9
30,5,1037,1,34767.0,0.0,6258.06
31,1,999,2,2850.0,0.0,1026.0
32,1,888,2,42767.0,0.0,15396.12
32,2,1210,1,20665.0,0.0,3719.7
32,3,759,1,30693.0,0.0,5524.74
32,4,961,1,18562.0,0.0,3341.16
33,1,255,1,49447.0,0.0,8900.46
33,2,446,1,1463.0,0.0,263.34
34,1,384,1,35937.0,0.0,6468.66
34,2,388,1,4540.0,0.0,817.2
34,3,1267,1,19473.0,2920.95,2979.37
34,4,755,2,21972.0,0.0,7909.92
35,1,854,1,12879.0,0.0,2318.22
36,1,1413,1,33848.0,3384.8,5483.38
37,1,189,2,22995.0,0.0,8278.2
37,2,1372,1,49569.0,2478.45,8476.3
37,3,253,1,47710.0,0.0,8587.8
38,1,890,1,16159.0,807.95,2763.19
39,1,1453,1,49918.0,0.0,8985.24
39,2,124,3,13439.0,0.0,7257.06
39,3,891,3,7376.0,0.0,3983.04
40,1,508,1,7972.0,0.0,1434.96
40,2,719,4,38421.0,0.0,27663.12
40,3,833,1,34987.0,0.0,6297.66
41,1,522,2,40744.0,0.0,14667.84
42,1,598,1,43727.0,0.0,7870.86
43,1,743,1,15628.0,0.0,2813.04
43,2,735,1,36719.0,0.0,6609.42
43,3,65,1,5491.0,0.0,988.38
43,4,742,3,27489.0,0.0,14844.06
43,5,1028,1,48646.0,0.0,8756.28
44,1,289,1,979.0,0.0,176.22
44,2,1112,1,12516.0,625.8,2140.24
45,1,188,1,42957.0,0.0,7732.26
45,2,565,1,4925.0,492.5,797.85
45,3,901,1,10711.0,0.0,1927.98
46,1,376,1,47513.0,0.0,8552.34
46,2,389,3,5256.0,788.4,2696.33
46,3,1387,1,41246.0,2062.3,7053.07
47,1,386,1,45877.0,0.0,8257.86
48,1,1198,1,10074.0,0.0,1813.32
48,2,525,2,35884.0,0.0,12918.24
49,1,733,1,13418.0,0.0,2415.24
50,1,876,1,1225.0,0.0,220.5
51,1,1328,1,42422.0,0.0,7635.96
51,2,1000,1,38099.0,0.0,6857.82
51,3,1048,2,24838.0,0.0,8941.68
52,1,172,1,11351.0,0.0,2043.18
52,2,1192,1,33953.0,0.0,6111.54
53,1,925,2,33399.0,3339.9,11422.46
53,2,927,1,23887.0,0.0,4299.66
54,1,1051,1,35442.0,0.0,6379.56
55,1,1096,1,3083.0,462.45,471.7
56,1,1438,1,9206.0,0.0,1657.08
